timestamp,event,container_id,similarity,detection_confidence,detail
2026-08-21T22:36:47.279+09:00,no_detection,,,,
2026-08-21T22:36:48.268+09:00,no_detection,,,,
2026-08-21T22:36:50.302+09:00,no_detection,,,,
2026-08-21T22:36:56.474+09:00,no_detection,,,,
2026-08-21T22:36:57.239+09:00,no_detection,,,,
2026-08-21T22:36:58.564+09:00,no_detection,,,,
2026-08-21T22:37:00.355+09:00,no_detection,,,,
2026-08-21T22:37:01.621+09:00,no_detection,,,,
2026-08-21T22:37:03.303+09:00,no_detection,,,,
2026-08-21T22:37:04.171+09:00,no_detection,,,,
2026-08-21T22:37:05.166+09:00,no_detection,,,,
2026-08-21T22:37:06.473+09:00,no_detection,,,,
2026-08-21T22:37:07.145+09:00,no_detection,,,,
2026-08-21T22:37:08.356+09:00,no_detection,,,,
2026-08-21T22:37:09.307+09:00,no_detection,,,,
2026-08-21T22:37:10.585+09:00,no_detection,,,,
2026-08-21T22:37:12.227+09:00,no_detection,,,,
2026-08-21T22:37:13.404+09:00,no_detection,,,,
2026-08-21T22:37:14.194+09:00,no_detection,,,,
2026-08-21T22:37:15.280+09:00,no_detection,,,,
2026-08-21T22:37:16.354+09:00,no_detection,,,,
2026-08-21T22:37:17.465+09:00,no_detection,,,,
2026-08-21T22:37:18.240+09:00,no_detection,,,,
2026-08-21T22:37:19.294+09:00,no_detection,,,,
2026-08-21T22:37:20.161+09:00,no_detection,,,,
2026-08-21T22:37:21.514+09:00,no_detection,,,,
2026-08-21T22:37:22.099+09:00,no_detection,,,,
2026-08-21T22:37:23.148+09:00,no_detection,,,,
2026-08-21T22:37:24.149+09:00,no_detection,,,,
2026-08-21T22:37:25.277+09:00,no_detection,,,,
2026-08-21T22:37:26.207+09:00,no_detection,,,,
2026-08-21T22:37:27.309+09:00,no_detection,,,,
2026-08-21T22:37:28.210+09:00,no_detection,,,,
2026-08-21T22:37:29.251+09:00,no_detection,,,,
2026-08-21T22:37:30.124+09:00,no_detection,,,,
2026-08-21T22:37:31.220+09:00,no_detection,,,,
2026-08-21T22:37:32.284+09:00,no_detection,,,,
